|ITEM_CODE|ITEM_NAME1                                      |ITEM_NAME2                            |VENDER_CODE|VENDER_NAME                                        |ORDER_DATE             |BUYER_CODE|BUYER_NAME    |
|240030061|SOMATAC PS-260WA (259MM X 120M :31.08 M2/ROLL)  |BASE FILM(POLYSTER)                   |1006462    |SIAM SOMAR CO.,LTD .                               |2023-10-19 00:00:00.000|229       |Chanthri      |
|240030062|PET0.075MM SIZE:256MMX500M/RL                   |BASE FILM (POLYESTER)                 |1005226    |BRENNTAG INGREDIENTS (THAILAND) PUBLIC CO., LTD    |2019-01-22 00:00:00.000|247       |Phurita.T     |
|240030063|PET FILM 0.023UM SIZE:485MM. X 1,220 M.         |BASE FILM(POLYESTER)                  |1005671    |POWER HEAT SEAL COATING CO.,LTD                    |2018-05-25 00:00:00.000|222       |Piyaporn.Pr   |
|240030066|BOPET25 T0.025MM(250MMX1020M)                   |BASE FILM (POLYESTER)                 |1005648    |R T SUPPLY CO., LTD.                               |2024-02-09 00:00:00.000|244       |Natthakritta.O|
|240030067|PET125UM-RB107(10) NS23 SIZE 250MMX200M/RL      |BASE FILM                             |1000572    |FUJI CHEMI CO., LTD                                |2024-02-09 00:00:00.000|233       |Passara       |
|240030068|PET125UM-RB107(10) NS23 SIZE 500MMX100M/RL      |BASE FILM                             |1000572    |FUJI CHEMI CO., LTD                                |2024-02-12 00:00:00.000|233       |Passara       |
|240030069|TFT #23 PET FILM(0.023MMX240MMX1,220 M)         |PET FILM                              |1007324    |POLYESTER FILM AND LAMINATE CO.,LTD                |2024-02-09 00:00:00.000|244       |Natthakritta.O|
|240030070|PET 0.075MM SIZE: 250MMX500M/RL(PLASTIC CORE)   |BASE FILM (TFT # 75)                  |1007324    |POLYESTER FILM AND LAMINATE CO.,LTD                |2024-02-09 00:00:00.000|244       |Natthakritta.O|
|240030071|PET 0.075MM SIZE: 260MMX500M/RL                 |BASE FILM (TFT # 75)                  |1007324    |POLYESTER FILM AND LAMINATE CO.,LTD                |2024-02-09 00:00:00.000|244       |Natthakritta.O|
|240030072|PET 0.075MM SIZE: 245MMX500M/RL(PLASTIC CORE)   |BASE FILM (TFT # 75)                  |1007324    |POLYESTER FILM AND LAMINATE CO.,LTD                |2024-02-09 00:00:00.000|244       |Natthakritta.O|
|240030073|PET 0.075MM SIZE: 255MMX500M/RL(PLASTIC CORE)   |BASE FILM (TFT # 75)                  |1007324    |POLYESTER FILM AND LAMINATE CO.,LTD                |2024-02-09 00:00:00.000|244       |Natthakritta.O|
|240030074|PET FILM 23 UM SIZE:485 MM.X1,220 M.            |BASE FILM(TFT#23)                     |1007324    |POLYESTER FILM AND LAMINATE CO.,LTD                |2024-02-09 00:00:00.000|244       |Natthakritta.O|
|240030075|PET 0.075MM ! 500MM X 500M/RL                   |BASE FILM ( POLYESTER)                |1007324    |POLYESTER FILM AND LAMINATE CO.,LTD                |2024-02-09 00:00:00.000|244       |Natthakritta.O|
|240030076|PET 0.075MM!242MMX500M/RL                       |BASE FILM (POLYESTER)                 |1005671    |POWER HEAT SEAL COATING CO.,LTD                    |2023-10-02 00:00:00.000|244       |Natthakritta.O|
|240030077| PET 0.075MM SIZE: 520MMX500M/RL                | BASE FILM (TFT #75)                  |1007324    |POLYESTER FILM AND LAMINATE CO.,LTD                |2024-02-09 00:00:00.000|244       |Natthakritta.O|
|240030078|PET 0.075MM!252MMX500M/RL                       |BASE FILM (POLYESTER FILM)            |1005671    |POWER HEAT SEAL COATING CO.,LTD                    |2023-09-12 00:00:00.000|244       |Natthakritta.O|
|240030079|BOPP FILM 20MIC CLEAR SIZE 250MMX1500M          |BASE FILM (POLY ESTER) PAPER CORE     |1005648    |R T SUPPLY CO., LTD.                               |2024-02-09 00:00:00.000|244       |Natthakritta.O|
|240030081| PET 0.075MM!490MMX500M/RL                      | BASE FILM (POLYESTER FILM)           |1005671    |POWER HEAT SEAL COATING CO.,LTD                    |2023-12-06 00:00:00.000|244       |Natthakritta.O|
|240060002|ASP-WD1120BA2!500MMX100M/RL                     |CCL (FLEXIBLE & RIGID)  DUMMY         |1004167    |VELOCITY CAPTOR INTERNATIONAL LIMITED              |2016-03-21 00:00:00.000|225       |Patssana      |
|240060008|RIGID CCL P/N:L-6504C2 18/18T=1.6 MM SIZE:1020MM|CCL (FLEXIBLE & RIGID)                |1002848    |NIKKAN INDUSTRIES CO.,LTD.                         |2023-02-04 00:00:00.000|233       |Passara       |
|240060010|RIGID CCL MODEL:R87051110EFT FR-1 SIZE:1220X1020|CCL(DUMMY)                            |1004382    |PANASONIC MANUFACTURING AYUTHAYA CO., LTD.         |2024-02-12 00:00:00.000|233       |Passara       |
|240060013|LNAW0518EBH T10 W500MMXL50M                     |CCL DUMMY                             |1003213    |SUMITOMO CORPORATION THAILAND LTD.                 |2013-08-06 00:00:00.000|225       |Patssana      |
|240060014|ASL-FD1100WSO SIZE:490MMX100 M.                 |CCL DUMMY                             |1004167    |VELOCITY CAPTOR INTERNATIONAL LIMITED              |2014-11-25 00:00:00.000|222       |Piyaporn.Pr   |
|240060015|LEAW 1018EBH T10 W:500MMXL50 M.                 |CCL DUMMY                             |1003213    |SUMITOMO CORPORATION THAILAND LTD.                 |2014-07-04 00:00:00.000|225       |Patssana      |
|240060016|ASL-FD1100WSO SIZE:500MMX100M.                  |CCL DUMMY                             |1004167    |VELOCITY CAPTOR INTERNATIONAL LIMITED              |2014-03-27 00:00:00.000|230       |Jaruwan       |
|240060017|ASL-FD1100WN0 SIZE 490MMX100M/RL                |CCL (FLEXIBLE & RIGID)  DUMMY         |1006918    |ALLSTAR TECH.(ZHONGSHAN) CO.,LTD.                  |2020-10-14 00:00:00.000|223       |Thippawan.Kha |
|240060018|LVAS1018RD T10!500MMX100M/RL                    |CCL ( FLEXIBLE & RIGID ) DUMMY        |1003213    |SUMITOMO CORPORATION THAILAND LTD.                 |2017-03-10 00:00:00.000|239       |Panadda.S     |
|240060020|LVAS1018EBH T10!500MMX100M/RL                   |CCL ( FLEXIBLE & RIGID ) DUMMY        |1003213    |SUMITOMO CORPORATION THAILAND LTD.                 |2023-04-19 00:00:00.000|246       |Kanogporn.T   |
|240060022|LVAW1018EBHT10 500MMX50M                        |CCL ( FLEXIBLE & RIGID ) DUMMY        |1003213    |SUMITOMO CORPORATION THAILAND LTD.                 |2023-04-19 00:00:00.000|246       |Kanogporn.T   |
|240060023|MB12-25-12CEG 500MMX100M                        |CCL ( FLEXIBLE & RIGID ) DUMMY        |0075001    |FUJIKURA PRINTED CIRCUITS LTD.                     |2023-06-08 00:00:00.000|223       |Thippawan.Kha |
|240060025|LVAW0512RDT10 500MMX50M                         |CCL ( FLEXIBLE & RIGID ) DUMMY        |1003213    |SUMITOMO CORPORATION THAILAND LTD.                 |2023-04-19 00:00:00.000|246       |Kanogporn.T   |
|240060029|ASL-FD1100WN1 SIZE250MMX100M/RL                 |CCL(FLEXIBLE & RIGID)DUMMY            |1006918    |ALLSTAR TECH.(ZHONGSHAN) CO.,LTD.                  |2024-01-10 00:00:00.000|223       |Thippawan.Kha |
|240060030|APED251218CX2 SIZE 500MMX100M/RL                |CCL(FLEXIBLE & RIGID)  DUMMY          |1004099    |CIRCUIT MATERIALS INC.                             |2023-12-07 00:00:00.000|223       |Thippawan.Kha |
